IBGE6;IBGE7;SITUACAO;MUNNOME;MUNNOMEX;AMAZONIA;FRONTEIRA;CAPITAL;UFCOD;LATITUDE;LONGITUDE;ALTITUDE;AREA
000000;0000000;IGNOR;Ignorado ou exterior;IGNORADO OU EXTERIOR;N;N;N;00;0,00000;0,00000;0;0,000
110000;1100000;IGNOR;Município ignorado - RO;MUNICIPIO IGNORADO - RO;N;N;N;11;0,00000;0,00000;0;0,000
110001;1100015;ATIVO;Alta Floresta D'Oeste;ALTA FLORESTA D'OESTE;S;S;N;11;-11,92900;-61,99600;350;7066,702
110002;1100023;ATIVO;Ariquemes;ARIQUEMES;S;N;N;11;-9,91300;-63,04100;142;4426,558
110003;1100031;ATIVO;Cabixi;CABIXI;S;S;N;11;-13,49200;-60,54500;230;1314,355
110004;1100049;ATIVO;Cacoal;CACOAL;S;N;N;11;-11,43800;-61,44800;200;3792,638
110005;1100056;ATIVO;Cerejeiras;CEREJEIRAS;S;S;N;11;-13,18900;-60,81200;277;2783,305
110006;1100064;ATIVO;Colorado do Oeste;COLORADO DO OESTE;S;S;N;11;-13,11700;-60,54200;460;1451,058
110007;1100072;ATIVO;Corumbiara;CORUMBIARA;S;S;N;11;-12,96200;-60,88700;340;3060,318
110008;1100080;ATIVO;Costa Marques;COSTA MARQUES;S;S;N;11;-12,44500;-64,22700;140;12722,168
110009;1100098;ATIVO;Espigão D'Oeste;ESPIGAO D'OESTE;S;N;N;11;-11,52500;-61,01300;270;4518,055
110010;1100106;ATIVO;Guajará-Mirim;GUAJARA-MIRIM;S;S;N;11;-10,78300;-65,33900;128;24855,652
110011;1100114;ATIVO;Jaru;JARU;S;N;N;11;-10,43900;-62,46600;124;2944,025
110012;1100122;ATIVO;Ji-Paraná;JI-PARANA;S;N;N;11;-10,88200;-61,94400;170;6896,782
110013;1100130;ATIVO;Machadinho D'Oeste;MACHADINHO D'OESTE;S;N;N;11;-9,44400;-61,98100;102;8509,274
110014;1100148;ATIVO;Nova Brasilândia D'Oeste;NOVA BRASILANDIA D'OESTE;S;S;N;11;-11,72500;-62,33100;320;1155,353
110015;1100155;ATIVO;Ouro Preto do Oeste;OURO PRETO DO OESTE;S;N;N;11;-10,71600;-62,24800;280;1970,151
110018;1100189;ATIVO;Pimenta Bueno;PIMENTA BUENO;S;S;N;11;-11,67300;-61,19300;195;6241,072
110020;1100205;ATIVO;Porto Velho;PORTO VELHO;S;S;S;11;-8,76200;-63,90400;85;34082,366
110025;1100254;ATIVO;Presidente Médici;PRESIDENTE MEDICI;S;N;N;11;-11,17600;-61,90100;185;1758,461
110026;1100262;ATIVO;Rio Crespo;RIO CRESPO;S;N;N;11;-9,70500;-62,90000;0;1717,648
110028;1100288;ATIVO;Rolim de Moura;ROLIM DE MOURA;S;S;N;11;-11,73300;-61,77800;290;1457,885
110029;1100296;ATIVO;Santa Luzia D'Oeste;SANTA LUZIA D'OESTE;S;S;N;11;-11,90200;-61,77900;260;1197,781
110030;1100304;ATIVO;Vilhena;VILHENA;S;S;N;11;-12,74100;-60,14600;600;11518,929
110032;1100320;ATIVO;São Miguel do Guaporé;SAO MIGUEL DO GUAPORE;S;S;N;11;-11,68100;-62,68400;205;8007,866
110033;1100338;ATIVO;Nova Mamoré;NOVA MAMORE;S;S;N;11;-10,41100;-65,33100;134;10071,702
110034;1100346;ATIVO;Alvorada D'Oeste;ALVORADA D'OESTE;S;S;N;11;-11,40800;-62,38900;224;3029,190
110037;1100379;ATIVO;Alto Alegre dos Parecis;ALTO ALEGRE DOS PARECIS;S;S;N;11;-12,12800;-61,85100;405;3958,586
110040;1100403;ATIVO;Alto Paraíso;ALTO PARAISO;S;N;N;11;-9,71300;-63,32100;0;2651,818
110045;1100452;ATIVO;Buritis;BURITIS;S;S;N;11;-10,21200;-63,82900;200;3265,739
110050;1100502;ATIVO;Novo Horizonte do Oeste;NOVO HORIZONTE DO OESTE;S;S;N;11;-11,71000;-62,00000;0;843,446
110060;1100601;ATIVO;Cacaulândia;CACAULANDIA;S;N;N;11;-10,34000;-62,89600;205;1961,745
110070;1100700;ATIVO;Campo Novo de Rondônia;CAMPO NOVO DE RONDONIA;S;S;N;11;-10,57100;-63,62700;0;3442,003
110080;1100809;ATIVO;Candeias do Jamari;CANDEIAS DO JAMARI;S;N;N;11;-8,79100;-63,70100;0;6843,866
110090;1100908;ATIVO;Castanheiras;CASTANHEIRAS;S;N;N;11;-11,42700;-61,95000;190;892,839
110092;1100924;ATIVO;Chupinguaia;CHUPINGUAIA;S;S;N;11;-12,55200;-60,90000;360;5126,675
110094;1100940;ATIVO;Cujubim;CUJUBIM;S;N;N;11;-9,36300;-62,58500;95;3864,071
110100;1101005;ATIVO;Governador Jorge Teixeira;GOVERNADOR JORGE TEIXEIRA;S;N;N;11;-10,61000;-62,73700;190;5067,381
110110;1101104;ATIVO;Itapuã do Oeste;ITAPUA DO OESTE;S;N;N;11;-9,20500;-63,18000;0;4081,433
110120;1101203;ATIVO;Ministro Andreazza;MINISTRO ANDREAZZA;S;N;N;11;-11,19600;-61,51700;400;798,065
110130;1101302;ATIVO;Mirante da Serra;MIRANTE DA SERRA;S;N;N;11;-11,03000;-62,67500;230;1191,882
110140;1101401;ATIVO;Monte Negro;MONTE NEGRO;S;N;N;11;-10,24600;-63,29000;0;1931,371
110143;1101435;ATIVO;Nova União;NOVA UNIAO;S;N;N;11;-10,90400;-62,56100;250;807,179
